2000000,0
2002001,1
2004002,0
1999998,0
1999999,0
2004000,0
2001999,0
2004001,0
2000001,0
2002002,1
2004003,0
2000002,0
2002003,1
2004004,1
2000003,0
2002004,0
2004005,1
2006006,1
2006005,0
2006004,0
2002005,0
2004006,0
2006007,1
2008008,0
2008007,0
2008006,0
2004007,0
2006008,1
2008009,1
2004008,1
2006009,0
2008010,1
2010011,0
2010010,0
2010009,1
2006010,0
2008011,1
2010012,1
2006011,1
2008012,0
2010013,0
2012014,1
2012013,1
2012012,0
2014015,1
2014014,1
2014013,0
2016016,1
2016015,0
2016014,1
2012015,1
2014016,0
2016017,1
2018018,1
2018017,0
2018016,0
2014017,0
2016018,0
2018019,0
2020020,0
2020019,1
2020018,1
2022021,0
2022020,0
2022019,0
2022018,0
2020017,1
2022017,0
2020016,1
2018015,1
2022016,0
2020015,1
2018014,0
2022015,0
2020014,1
2018013,0
2022014,0
2020013,1
2018012,0
2022013,0
2020012,0
2018011,1
2016013,1
